asn,description,total_ipv4,observed_bad_ipv4_unique,observed_bad_ipv4_weighted,abuse_ratio_unique_pct,abuse_ratio_weighted_pct,distinct_feeds,distinct_feed_families,maliciousness_score,confidence_score,category,operator_profile,operator_tags,recommended_action,spamhaus_asndrop_flag,community_bad_asn_flag,known_scanner_flag,score_density,score_volume,score_diversity,score_severity,score_persistence,score_routing,score_context_adjustment,routing_risk_score,rpki_risk_score,spamhaus_drop_ipv4_weighted,threatfox_ipport_recent_ipv4_weighted,urlhaus_recent_urls_ipv4_weighted,openphish_feed_ipv4_weighted,ripe_first_seen_utc,ripe_last_seen_utc,ripe_visibility_v4_pct,ripe_announced_prefixes_v4,ripe_announced_ipv4,ripe_observed_neighbours,ripe_rpki_total_prefixes_v4,ripe_rpki_prefixes_checked_v4,ripe_rpki_valid_prefixes_v4,ripe_rpki_invalid_asn_prefixes_v4,ripe_rpki_invalid_length_prefixes_v4,ripe_rpki_invalid_prefixes_v4,ripe_rpki_unknown_prefixes_v4,ripe_rpki_coverage_pct_v4,ripe_rpki_partial_flag,first_seen_utc,last_seen_utc,runs_seen_30d,days_observed_30d,reasons
AS209605,LT - HOSTBALTIC,2304,2048,2048,88.888889,88.888889,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,2048,0,0,0,2019-01-21T00:00:00,2026-08-21T16:00:00,99.69604863221885,9,2304,10,9,9,5,0,0,0,4,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS43463,GB - BST-LT,3072,2048,2048,66.666667,66.666667,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2048,0,0,0,2007-09-06T16:00:00,2026-08-21T16:00:00,99.3920972644377,9,3072,2,9,9,9,0,0,0,0,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS400992,US - ZHOUYISAT-COMMUNICATIONS,9728,1793,1793,18.431332,18.431332,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,access_isp_or_telco",hard_block,1,0,0,35,15,15,10,10,0,15,0,0,1792,0,1,0,2024-05-12T16:00:00,2026-08-21T16:00:00,99.3920972644377,38,9728,7,40,12,10,0,0,0,2,30.0,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS205759,US - GHOSTYNETWORKS,1792,1792,2539,100.000000,141.685268,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,8,15,2,6,2304,30,205,0,2017-06-15T16:00:00,2026-08-21T16:00:00,99.69604863221885,7,1792,1,8,8,6,1,0,1,1,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2 | RIPE RPKI risk score 6
AS59651,IL - ASBLG,14080,1536,1536,10.909091,10.909091,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,2,15,2,0,1536,0,0,0,2012-10-13T00:00:00,2026-08-21T16:00:00,99.69604863221885,39,14080,2,39,12,12,0,0,0,0,30.76923076923077,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS13875,US - -Reserved AS,1536,1536,1536,100.000000,100.000000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,1536,0,0,0,2006-02-17T00:00:00,2026-08-21T16:00:00,97.56838905775076,6,1536,2,6,6,6,0,0,0,0,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS213438,SC - COLOCATEL-INC Colocatel Network - High Bandwidth Dedicated Servers,4608,1281,1281,27.799479,27.799479,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,1280,1,0,0,2025-02-12T00:00:00,2026-08-21T16:00:00,99.69604863221885,17,4608,73,17,12,12,0,0,0,0,70.58823529411765,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS213790,GB - LIMITEDNETWORK-AS,1280,1280,1327,100.000000,103.671875,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,1280,1,46,0,2025-01-27T16:00:00,2026-08-21T16:00:00,98.17629179331307,5,1280,3,5,5,4,0,0,0,1,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS46664,US - VDI-NETWORK,4608,1280,1280,27.777778,27.777778,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,1280,0,0,0,2009-02-03T08:00:00,2026-08-21T16:00:00,99.69604863221885,18,4608,3,18,12,10,0,0,0,2,66.66666666666666,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS213373,SC - IPCONNECT,3072,1280,1281,41.666667,41.699219,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,1280,0,1,0,2020-04-22T16:00:00,2026-08-21T16:00:00,99.69604863221885,12,3072,103,12,12,12,0,0,0,0,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
